"filename", "language", "CSS", "JSON with Comments", "TypeScript", "JSON", "TypeScript React", "Markdown", "HTML", "comment", "blank", "total"
"/home/cjfritz/learning/50-projects-50-days/src/components/pages/split-landing/PanelLeft.tsx", "TypeScript React", 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"/home/cjfritz/learning/50-projects-50-days/src/components/pages/split-landing/PanelRight.tsx", "TypeScript React", 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"/home/cjfritz/learning/50-projects-50-days/src/components/pages/split-landing/SplitLanding.css", "CSS", 108, 0, 0, 0, 0, 0, 0, 0, 18, 126
"/home/cjfritz/learning/50-projects-50-days/src/components/pages/split-landing/SplitLanding.tsx", "TypeScript React", 0, 0, 0, 0, 35, 0, 0, 0, 8, 43
"/home/cjfritz/learning/50-projects-50-days/src/components/pages/water-tracker/WaterTracker.tsx", "TypeScript React", 0, 0, 0, 0, 174, 0, 0, 7, 8, 189
"/home/cjfritz/learning/50-projects-50-days/src/index.tsx", "TypeScript React", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"/home/cjfritz/learning/50-projects-50-days/src/models/Circles.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"/home/cjfritz/learning/50-projects-50-days/src/models/ColorSchemes.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"/home/cjfritz/learning/50-projects-50-days/src/models/Fonts.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"/home/cjfritz/learning/50-projects-50-days/src/models/Props.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/home/cjfritz/learning/50-projects-50-days/src/utils/animations.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 8, 49
"/home/cjfritz/learning/50-projects-50-days/src/utils/google-symbols.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"/home/cjfritz/learning/50-projects-50-days/src/utils/helpers.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/home/cjfritz/learning/50-projects-50-days/tsconfig.json", "JSON with Comments", 0, 32, 0, 0, 0, 0, 0, 73, 9, 114
"Total", "-", 636, 32, 130, 37, 1768, 2, 17, 95, 307, 3024
